BMI Range,Year,Percent,CI Lower,CI Upper
Less than 18.5,2011–12,1.4,1.2,1.6
18.5 to less than 20.5,2011–12,4.9,4.6,5.2
20.5 to less than 22.5,2011–12,9.4,8.9,9.9
22.5 to less than 24.5,2011–12,12.5,11.8,13.1
24.5 to less than 26.5,2011–12,12.9,12.4,13.5
26.5 to less than 28.5,2011–12,12.1,11.6,12.6
28.5 to less than 30.5,2011–12,10.2,9.7,10.7
30.5 to less than 32.5,2011–12,7.2,6.8,7.6
32.5 to less than 34.5,2011–12,4.7,4.5,5.0
34.5 to less than 36.5,2011–12,3.2,3.0,3.5
36.5 to less than 38.5,2011–12,2.2,2.0,2.4
38.5 to less than 40.5,2011–12,1.3,1.1,1.4
40.5 to less than 42.5,2011–12,0.9,0.7,1.1
42.5 to less than 44.5,2011–12,0.5,0.4,0.6
44.5 to less than 46.5,2011–12,0.5,0.4,0.6
46.5 or more,2011–12,16.2,15.4,16.9
Less than 18.5,2022,1.7,1.3,2.1
18.5 to less than 20.5,2022,4.9,4.3,5.6
20.5 to less than 22.5,2022,9.0,8.3,9.7
22.5 to less than 24.5,2022,13.8,13.0,14.5
24.5 to less than 26.5,2022,15.2,14.3,16.0
26.5 to less than 28.5,2022,14.6,13.7,15.5
28.5 to less than 30.5,2022,11.3,10.5,12.2
30.5 to less than 32.5,2022,9.3,8.6,10.0
32.5 to less than 34.5,2022,6.2,5.6,6.7
34.5 to less than 36.5,2022,4.5,4.0,5.0
36.5 to less than 38.5,2022,2.9,2.5,3.3
38.5 to less than 40.5,2022,2.5,2.1,2.9
40.5 to less than 42.5,2022,1.6,1.3,1.9
42.5 to less than 44.5,2022,1.1,0.8,1.3
44.5 to less than 46.5,2022,0.7,0.5,0.9
46.5 or more,2022,0.8,0.6,1.1

